CUE-001	0	1.825	开头展示饺子啊，这期视频我要告诉你
CUE-002	1.825	5.37	从零粉到一万粉，你必须要知道的十三个问题，这期视频非常干，没有任何
CUE-003	5.38	8.25	浮点没有任何钩子，那么我们直接开始第一个问题是选择赛道
CUE-004	8.25	12.29	赛道一共就分问题，就运势，口播就是非口播，口播就是情感成长后黑吃后播套，嘿嘿
CUE-005	12.3	14.522	口播就是分logo两篇agc微综合颜值
CUE-006	14.522	16.861	但如果去选择一个你要的赛道，你非不能选择
CUE-007	16.861	21.19	就是只要你要结合好友，你要看机器好什么东西不要搜，原来是一个鸟的拍vlog
CUE-008	21.2	22.72	金刚钻就不要揽瓷器活的呀
CUE-009	22.72	24.367	问题是赛道的卷度和商业空间
CUE-010	24.367	25.507	我可以直白的告诉你
CUE-011	25.507	30.07	现在的无那个赛道是最卷最难拍火的东西，还现在商业空间是最大的，娱乐赛道是
CUE-012	30.08	32.745	最不赚钱，商业空间最小的都哪些赛道是蓝海呢？
CUE-013	32.745	34.925	我会告诉你短片a I g c和微综艺
CUE-014	34.925	39.53	这是抖音现在正在大推的两分钟以上的深度内容，并且我推荐你如果拍vlog的时候
CUE-015	39.54	41.747	则拍六到七分钟以上的长vlog
CUE-016	41.747	46.75	并且你可以关注亚托音，对于igc短片和微综艺都有大力的新导演扶持计划
CUE-017	46.76	48.868	那么第三个问题是更新频率和断更和权重
CUE-018	48.868	52.5	两个更新频率完全是根据你的内容质量来评价的，没有任何的标准答案
CUE-019	52.51	54.938	我对你的唯一要求就是不要断更，什么叫断更呢？
CUE-020	54.938	56.262	如果你是一个日更博主的话
CUE-021	56.262	57.476	你一周没更新就算断更了
CUE-022	57.476	60.68	如果你是周更博主，一个月没更新算断更了，你也可以是年更博主
CUE-023	60.69	62.541	其中最直接的体现就是基础播放量
CUE-024	62.541	65.256	我可以告诉你粉丝虽体相更大的博主它的权重越大
CUE-025	65.256	68.59	但是它下降的速度也越快，可能经常会看那些百万博主他们点
CUE-026	68.6	70.566	流量直接少的可怜的一千，为什么呢？
CUE-027	70.566	72.185	微花是你是一个百万的博主的话
CUE-028	72.185	74.613	并觉得你的正常的高质量内容可能是在三万点赞
CUE-029	74.613	78.43	如果你连续更了几条三千点赞以下的视频的话，平台就会觉得你这个人特别
CUE-030	78.44	83.5	那就会把你的权重基础播放降低，再降的速度会比那些素人和小博主降的更快，所以大
CUE-031	83.51	85.815	而你是大博主，你才不能懈怠，不能够水视频
CUE-032	85.815	89.85	不然你的权重就加了来，并且很难再提上去的，除非你做出一个爆款绝世好内容
CUE-033	89.86	91.395	那么下一个问题就是商业空间
CUE-034	91.395	92.812	你要明白你拍自媒体的目的
CUE-035	92.812	96.12	如果最终是赚钱的话，你就不要拍那些完全没有广告位的视频了
CUE-036	96.13	99.834	所有的山野空间指的就是你的视频里有哪些可以植入的场景
CUE-037	99.834	102.97	没有你是个口播博主的话，你可能就只能只有那些
CUE-038	102.98	104.879	电影书啊，A p p之类的东西了
CUE-039	104.879	106.659	但是如果你是个vlog博主的话
CUE-040	106.659	110.46	你会发现你什么都可以植入，看现在主要有哪些广告商呢，就是三c e
CUE-041	110.47	112.586	Tp汽车文旅电影输快销和耐销
CUE-042	112.586	113.946	就我可以告诉你的是
CUE-043	113.946	118.178	今年六幺八我能明显的感受到这些广告商的预算越来越来越低了
CUE-044	118.178	119.69	六幺八是一年广告最旺
CUE-045	119.7	121.923	最旺的时候，然而今年一点实话都没有
CUE-046	121.923	126.37	但好好在呢，现在三c e p p汽车还有美妆客户，他们依然还挺有钱的
CUE-047	126.38	128.814	所以这个时候你选择你要拍的视频内容的时候
CUE-048	128.814	131.491	你可以重点考虑一下你的视频能不能植入这些品牌
CUE-049	131.491	133.44	下一个问题呢，就是你何时可以变现
CUE-050	133.45	136.634	可以告诉你的是，如果你发现你做出了一个爆款系列的时候
CUE-051	136.634	137.858	千万不要立刻去接广告
CUE-052	137.858	142.39	哼，爆款系列就是你涨粉最好的时间，你这个时候去接那些你现在价格并不高的广告
CUE-053	142.4	144.097	其实就是被广告上薅羊毛了
CUE-054	144.097	146.077	并且它绝对会放慢你的涨粉速度
CUE-055	146.077	150.18	你到瓶颈期的时候你就知道涨粉有多难了，那么我可以告诉你一个
CUE-056	150.19	152.01	系列的生命周期是三到六个月
CUE-057	152.01	153.69	我们在什么时候去变现呢？
CUE-058	153.69	156.07	我们等我们这个系列它慢慢倦怠的时候
CUE-059	156.07	160.13	或者说你已经是成为一个十万体量的博主的时候，再去接这些广告
CUE-060	160.14	162.74	下个问题就是当你拍出一个爆款之后你要怎么办？
CUE-061	162.74	164.631	首先千万不要去回应一些粉丝的评论
CUE-062	164.631	167.47	或者解释一下你是怎么拍出这个爆款的，只要做的就是
CUE-063	167.48	172.48	复制这个爆款，拍一个和这个爆款差不多的东西，然后一直拍一直拍，直到你发现这个爆款没有用了
CUE-064	172.49	174.107	那第八点就是评论区和私信
CUE-065	174.107	179.23	我是非常推荐你在合理的范围内和你评论区的粉丝大幅互动的，并且你可以和评论区中
CUE-066	179.24	180.366	到一些数据的反馈
CUE-067	180.366	181.633	我知道他们想看什么
CUE-068	181.633	186	他们爱看什么和提问去获得选题的灵感，我反复强调自媒体做自他媒体
CUE-069	186.01	188.545	但这就是你知道用户想看什么的最好的地方
CUE-070	188.545	193.35	私信回不回看你能不能掌握这个尺度，但是你同样可以从私信中获得好的选题灵感
CUE-071	193.36	195.174	那么第九点呢就是你的更新框架
CUE-072	195.174	199.192	我建议你通常用两个以上的系列去维持你的更新tag问题就是tag
CUE-073	199.192	200.49	你要带什么tag呢？
CUE-074	200.5	202.126	不要带那些能彰显你身份
CUE-075	202.126	206.86	你赛道的有流量的tag之外，你可以去多关注一下官方近期有什么活动
CUE-076	206.87	209.157	帮他发布了近期有哪些推流计划的tag
CUE-077	209.157	210.3	把这个tag给带上
CUE-078	210.3	215.13	第十一点就是系列的生命周期，我已经回应过了，是三到六个月，但是也有例外就是你
CUE-079	215.14	217.56	拍了一个特别特别大爆款的长系列片
CUE-080	217.56	222.098	你说洗澡的慈禧体验一百种职业和六个月之内你的数据肯定会有疲软
CUE-081	222.098	224.52	这个时候你要做的就是优化和调整了
CUE-082	224.53	226.231	问题就是数据不好时怎么办？
CUE-083	226.231	230.42	首先我可以告诉你数据不好不要去想别的原因，肯定是你的内容出了问题
CUE-084	230.43	231.693	这个时候你就会问了，唉
CUE-085	231.693	233.3	我如果发了一条数据不好的内容
CUE-086	233.3	237.09	我来删除和隐藏吗？现在因为推流机制的改变，使我们的推流时间变得更长
CUE-087	237.1	239.928	我建议你三到七天内都不要删除你的视频
CUE-088	239.928	243.7	但如果砍断在三到七天之后视频就会重新去调这个数据
CUE-089	243.71	246.022	要做的就是去点开你的后台数据空间
CUE-090	246.022	251.08	去分析一下这条视频的到底是封面点击率还是跳出率还是完播率，哪里出了问题
CUE-091	251.09	252.33	及时的去做优化调整
CUE-092	252.33	255.639	十三点就是mcn的类型与选择什么型，我可以告诉您
CUE-093	255.639	260.19	市面上百分之九十九的mc，它没有帮你做出爆款系列或者爆款内容的能力
CUE-094	260.2	263.566	Mcn呢也就分三种类型，一种是商签
CUE-095	263.566	270.1	也就是通常是二八三七分，第二种就是全约，它通常是三七四六或者五五分
CUE-096	270.11	271.443	第三种就是孵化型公司
CUE-097	271.443	272.909	这时候mcn就会拿大头
CUE-098	272.909	276.91	比如说七成八成甚至九成，这个时候这个出镜的博主他就相当于一个
CUE-099	276.92	280.178	附近的演员的，那么既然我说的m c没有那么强的内容能力
CUE-100	280.178	281.746	它能给你提供的什么好处呢？
CUE-101	281.746	285.97	就它可能会有一些年框的商务资源，并且它的执行和商务可以去帮你去对接那些
CUE-102	285.98	291.24	繁杂的商务信息，且他能够帮你去写一些简单的上单脚本，除此之外没有别的了
CUE-103	291.25	294.287	那么孵化公司呢，能给你提供最大的帮助就是投流
CUE-104	294.287	298.43	不过也有很多孵化公司啊，是单纯只雇一个演员作为他的账号的出镜
CUE-105	298.44	300.648	花钱买了一个号或者说嫁接一个号
CUE-106	300.648	301.973	执行了几条视频之后
CUE-107	301.973	306.98	这就有广告商来寻单了，这个时候他拿着广告商的给他的钱去投他的视频数据
CUE-108	306.99	308.442	保证他能够持续的接到单
CUE-109	308.442	311.611	所以这个时候他也不在乎他的视频内容到底优不优质了
CUE-110	311.611	315.046	今天的课程就到这里，我不建议被这样骗的好吗？下期再见
